"code","short_name"
"0224","Flagstaff"
"0225","Flagstaff Prison N-Med"
"0226","FORD MOT CO"
"0227","Fort Beaufort Corr"
"0228","Fort Beaufort Gatewa"
"0229","Fort Beaufort Hospital"
"0230","Fort Beaufort Mobile 1"
"0231","Fort England Hospital"
"0232","Fort Glamogan Corr"
"0233","Fort Grey"
"0234","Fort Grey TB Hospital"
"0235","Fort Malan"
"0236","FDP N-med Mob 1"
"0237","Frankfort"
"0238","Fransbury Sat"
"0239","Frere Gateway"
"0240","Frere Hospital"
"0241","Frontier Hospital"
"0242","Gardens"
"0243","Gatyana Corr"
"0244","Gcaleka"
"0245","Gelvandale"
"0246","Gilton"
"0247","Ginsberg"
"0248","Glen Grey Hospital"
"0249","Glenmore"
"0250","Gompo A Ndende"
"0251","Gompo B Jwayi"
"0252","Gompo C Jabavu"
"0253","Gonubie"
"0254","Good Hope"
"0255","Goso Forest"
"0256","Govan Mbeki"
"0257","Gqaga"
"0258","Gqaqhala Clinic"
"0259","Gqebera CHC"
"0260","Gqogqora"
"0261","Gqunqe"
"0262","Graaff Reinet Corr"
"0263","Graaff-Reinet Crisis Centre"
"0264","Graaff-Rein Day Hosp"
"0265","Graaff-Reinet Mobile 1"
"0266","Graaff-Reinet Mobile 2"
"0267","Gracey"
"0268","Grahamstown Corr"
"0269","Grahamstown Mobile 1"
"0270","Grahamstown Mobile 2"
"0271","Grahamstown Mobile 3"
"0272","Grainvalley"
"0273","Greenacres Clicks Pharmacy"
"0274","Greenacres Hospital"
"0275","Greenfields"
"0276","Greenville Hospital"
"0277","Greenville Mobile 1"
"0278","Greenville PHC"
"0279","Grey Gateway"
"0280","Grey Hospital"
"0281","Grey Monument Private Clinic Hospital"
"0282","Guba"
"0283","Gubenxa"
"0284","Gura"
"0285","Gustav Lamour"
"0286","Gwabeni"
"0287","Gwadana"
"0288","Gwadu"
"0289","Gwatyu"
"0290","Gxulu"
"0291","Gxwederha Clinic"
"0292","Hackney"
"0293","Hamburg"
"0294","Haytor"
"0295","Healdtown"
"0296","Hebe-Hebe"
"0297","Helenvale"
"0298","Helen Ward Well Baby"
"0299","Herschel"
"0300","Hewu Hospital"
"0301","Hewu Mobile 1"
"0302","Hewu Mobile 2"
"0303","Hewu Mobile 3"
"0304","High Street"
"0305","Highview"
"0306","Hillside (Nkonkobe)"
"0307","Hillside (Senqu)"
"0308","Hilton"
"0309","Hlabatshane"
"0310","Hlala Uphilile"
"0311","Hlamandana"
"0312","Hlangalane"
"0313","Hlankomo"
"0314","Hlomendlini Clinic"
"0315","Hobeni Clinic"
"0316","Hofmeyer"
"0317","Hofmeyer Mobile 1"
"0318","Holy Cross Hospital"
"0319","Holy Cross Mobile 1"
"0320","Holy Cross PHC"
"0321","Horseshoe"
"0322","Horton"
"0323","Hukuwa"
"0324","Humansdorp Clinic"
"0325","Humansdorp Hospital"
"0326","Hunterscraig Hosp"
"0327","Ibika"
"0328","Idutywa Corr"
"0329","Idutywa Mobile 1"
"0330","Idutywa Mobile 2"
"0331","Idutywa Nqabara"
"0332","Idutywa Village CHC"
"0333","Ikamvelihle"
"0334","Ilinge"
"0335","Ilita"
"0336","Imidange"
"0337","Imizamo Yetho"
"0338","Imizizi"
"0339","Industex Factory"
"0340","Indwe Hospital"
"0341","Indwe Mobile 1"
"0342","Isikelo"
"0343","Isikhoba"
"0344","Isilimela Gateway"
"0345","Isilimela Hospital"
"0346","Isilindini"
"0347","Isolomzi"
"0348","Jafta"
"0349","Jaji"
"0350","Jalamba"
"0351","Jama"
"0352","Jamestown Clinic"
"0353","Jamestown Hospital"
"0354","Jansenville Corr"
"0355","Jansenville Mobile 1"
"0356","JC Steyn Corr"
"0357","Jingqi"
"0358","Joe Slovo"
"0359","John Dube"
"0360","Jose Pearson TB Hospital"
"0361","Joubertina CHC"
"0362","Joubertina Mobile 1"
"0363","Joza"
"0364","Kabega Park Clicks Pharmacy"
"0365","Kalankomo"
"0366","Kamastone"
"0367","Kambi"
"0368","Kanyayo (Bizana)"
"0369","Kareedouw"
"0370","Kati-Kati"
"0371","Katkop"
"0372","KB Siswana"
"0373","Kei Mouth Mobile 1"
"0374","Keiskammahoek Mobile 1"
"0375","Kenton-On-Sea"
"0376","Keti"
"0377","Khanyayo (H Cross)"
"0378","Khayamnandi"
"0379","Khethubomi N-Med"
"0380","Khotsong TB Hospital"
"0381","Khuze Clinic"
"0382","Clicks (KWT)"
"0383","KWT Corr"
"0384","King William's Town Rural Mobile 1"
"0385","Kirkwood Clinic"
"0386","Kirkwood Corr"
"0387","Kirkwood Frail Care Centre"
"0388","Kleinbulhoek"
"0389","Klinimed Phar"
"0390","Kohlo"
"0391","Kolomana Clinic"
"0392","Komani Hospital"
"0393","Komga CHC"
"0394","Komga Hospital"
"0395","Komga Rural Clinic"
"0396","Korsten CHC"
"0397","Kotana"
"0398","Kotyana Clinic"
"0399","Krakeel Clinic"
"0400","Kroonvale"
"0401","Kruisfontein"
"0402","Kruisrivier"
"0403","Kruisrivier Mobile 1"
"0404","Kruisrivier Mobile 2"
"0405","KTC Clinic"
"0406","Ku Bengu Clinic"
"0407","Kubusi"
"0408","Kungisizwe"
"0409","Kuyasa CHC"
"0410","Kwadwesi"
"0411","Kwadwesi Mobile 1"
"0412","Kwamagxaki"
"0413","Kwa-Mkholoza"
"0414","Kwa-Nonqubela"
"0415","Kwanonzame New"
"0416","Kwanonzame Old"
"0417","Kwa-Nonzwakazi"
"0418","Kwanoxolo Mobile 1"
"0419","Kwazakhele CHC"
"0420","Kwazakhele Clinic"
"0421","Kwazamukucinga"
"0422","Kwazenzele"
"0423","Kwelera"
"0424","Lady Frere Mobile 1"
"0425","Lady Frere Mobile 2"
"0426","Lady Frere Mobile 3"
"0427","Lady Grey Hospital"
"0428","Lady Grey Mobile 1"
"0429","L Bam CHC"
"0430","Laetitia Bam Mobile 1"
"0431","Lahlangubo (Ngcobo)"
"0432","Lahlangubo (Qtown)"
"0433","Langeni"
"0434","Lanti"
"0435","Lenye"
"0436","Lesseyton Clinic"
"0437","Lesseyton Mobile 1"
"0438","Libode Clinic"
"0439","Lifeline East London"
"0440","Lifeline Non-Med (KWT)"
"0441","Likhetlane"
"0442","Lingelihle"
"0443","L Grange Clinic"
"0444","Livingstone Hospital"
"0445","L Ngcana"
"0446","Loerie Clinic"
"0447","Loerie Mobile 1"
"0448","Lorraine Frail Care Centre"
"0449","Lota"
"0450","Lotana"
"0451","Louterwater"
"0452","L Gungululu"
"0453","L Mncuncuzo"
"0454","L Regu"
"0455","Lower Seplan Clinic"
"0456","Lower Tsitsana"
"0457","Lower Tsitsikamma Mobile 1"
"0458","L Zingcuka"
"0459","Lubaleko"
"0460","Lubisi"
"0461","Ludalasi"
"0462","Lugangeni"
"0463","Lujizweni"
"0464","Lukhanyiso"
"0465","Lukhanyo"
"0466","Lulama Kama"
"0467","Lunga Kobese"
"0468","Lusikisiki Corr"
"0469","Lusikisiki Village (Qauk)"
"0470","Luthuli"
"0471","Lutshaya"
"0472","Lutubeni"
"0473","Luyengweni"
"0474","Luyolo NU 9"
"0475","Lwandile"
"0476","Lynette Louw Well Baby"
"0477","Mabandla"
"0478","Macacuma Satellite Clinic"
"0479","Machibini (Kwab)"
"0480","Machibini (Qtown)"
"0481","Machubeni Clinic"
"0482","Macibe"
"0483","Maclear Clinic"
"0484","Maclear Hospital"
"0485","Maclear Mobile 1"
"0486","Madlangala"
"0487","Madwaleni Hospital"
"0488","Madzikane kaZulu Memorial Hospital"
"0489","Magadla"
"0490","Magwa"
"0491","Magwala"
"0492","Mahasana Clinic"
"0493","Mahlubini"
"0494","Mahlungulu (KSD)"
"0495","Mahlungulu (Mhlo)"
"0496","Mahlungulu N-Med"
"0497","Majola"
"0498","Makhotyana CHC"
"0499","Makhotyana Mobile 1"
"0500","Makwantini"
"0501","Malabar Satellite Clinic"
"0502","Malangeni"
"0503","Maletswai Clinic"
"0504","Malongwana"
"0505","Malusi"
"0506","Maluti CHC"
"0507","Maluti Mobile 1"
"0508","Mampondomiseni"
"0509","Mangcwanguleni"
"0510","Mangoloaneng"
"0511","Mangqamzeni"
"0512","Mantlaneni"
"0513","Mantusini"
"0514","Manzana"
"0515","Manzimahle"
"0516","Mapheleni"
"0517","Mapuzi"
"0518","Maqanyeni Clinic"
"0519","Maqashu"
"0520","Margery Parkes TB Hospital"
"0521","Marie Stopes N-med"
"0522","Marjorie Parrish TB Hospital"
"0523","Marselle"
"0524","Martje Venter (Tarkastad) Hospital"
"0525","Mary Teresa Mobile 1"
"0526","Masakhane (Aberdeen)"
"0527","Masakhane (Hankey)"
"0528","Masakhane (NMMM)"
"0529","Masakhane (Zwe)"
"0530","Masakhane Mobile 1"
"0531","Masakhe"
"0532","Masele"
"0533","Masibulele Clinic"
"0534","Masincedane"
"0535","Masiphile Clinic"
"0536","Matatiele Mobile 1"
"0537","Matatiele Mobile 2"
"0538","Matatiele Mun Clinic"
"0539","Matomela"
"0540","Matubeni"
"0541","Matyantya"
"0542","Mawusheni"
"0543","Max Madlingozi"
"0544","Maxwele"
"0545","Mbalisweni"
"0546","Mbekweni CHC"
"0547","Mbhashe Corr"
"0548","Mbokotwana"
"0549","Mbulukweza"
"0550","Mcambalala"
"0551","Mcewula"
"0552","Mdanjelwa"
"0553","Mdantsane Comprehensive Mobile 1"
"0554","Mdantsane Corr"
"0555","Mdeni"
"0556","Mdingi"
"0557","Mdyobe"
"0558","Meje"
"0559","Melani"
"0560","Melitafa"
"0561","Mercantile Private Hospital"
"0562","Mercy Clinic (Jeffreys Bay)"
"0563","Mevana"
"0564","Mfesane N-med"
"0565","Mfundambini"
"0566","Mfundisweni"
"0567","Mgudu"
"0568","Mgwalana"
"0569","Mgwali"
"0570","Mgwenyane"
"0571","Mhlahlane"
"0572","Mhlakulo CHC"
"0573","Mhlanga"
"0574","Mhlopekazi"
"0575","Mhlotsheni"
"0576","Michausdal"
"0577","Middelburg Clinic"
"0578","Middelburg Corr"
"0579","Middelburg Mobile 1"
"0580","Middelburg Mobile 2"
"0581","Middledrift CHC"
"0582","Middledrift Corr"
"0583","Middledrift Mobile 1"
"0584","Middledrift Mobile 2"
"0585","Middle Street"
"0586","M Terrace Clinic"
"0587","Midland Hospital"
"0588","Midros"
"0589","Misgund"
"0590","Missionvale"
"0591","Mitford"
"0592","Mjanyana Clinic"
"0593","Mjanyana Hospital"
"0594","Mjanyana Mobile 1"
"0595","Mjika"
"0596","Mkambathi Clinic"
"0597","Mkapusi"
"0598","Mkemane"
"0599","Mnceba"
"0600","Mncotsho"
"0601","Mngungu"
"0602","Mntwana"
"0603","Mnyibashe"
"0604","Mnyolo"
"0605","Molteno Clinic"
"0606","Molteno Hospital"
"0607","Molteno Mobile 1"
"0608","Mooiplaas"
"0609","Moore Street"
"0610","Moses Mabida"
"0611","Motherwell CHC"
"0612","Motherwell Mobile 1"
"0613","Motherwell NU 11"
"0614","Motherwell NU 2"
"0615","Motherwell NU 8"
"0616","Mt Arthur Clinic"
"0617","Mount Ayliff Hospital"
"0618","Mount Ayliff Mobile 1"
"0619","Mt Ayliff PHC"
"0620","Mt Coke CHC"
"0621","Mount Coke Mobile 1"
"0622","Mount Fletcher Corr"
"0623","Mt Frere PHC"
"0624","Mt Hargreaves"
"0625","Mpame Clinic"
"0626","Mpeko"
"0627","Mpetsheni"
"0628","Mpharane"
"0629","Mpindweni"
"0630","Mpongo"
"0631","Mpoza Lus"
"0632","Mpoza Mt Frere"
"0633","Mpozolo"
"0634","Mpukane"
"0635","Mpunzana"
"0636","Mqambeli"
"0637","Mqanduli CHC"
"0638","Mqanduli Mobile 1"
"0639","Mqhekezweni"
"0640","Mqhele"
"0641","Mqokolweni"
"0642","Msendo"
"0643","Msobomvu"
"0644","Mtakatye"
"0645","Mtambalala"
"0646","Mthatha Corr"
"0647","Mthatha SANDF Clinic"
"0648","Mthatha Gateway"
"0649","Mthatha General Hospital"
"0650","Mthatha Mental Health Unit"
"0651","Mthatha Mobile 1"
"0652","Mtingwevu"
"0653","Mtombe"
"0654","Mtyholo"
"0655","Musong"
"0656","Mvenyane"
"0657","Mvezo Mob 1"
"0658","Mwaca"
"0659","Mxalanga"
"0660","Mxhelo"
"0661","Mzamomhle"
"0662","Mzamomhle (Bed)"
"0663","Mzintlava Clinic"
"0664","Mzongwana"
"0665","Ncambele"
"0666","Ncedolwethu"
"0667","Nceduluntu"
"0668","Ncembu"
"0669","Ncera"
"0670","Ncizele"
"0671","Ncora"
"0672","Ndabakazi"
"0673","Ndanya"
"0674","Ndawenzima"
"0675","Ndela"
"0676","Ndevana"
"0677","Ndibela"
"0678","Ndofela"
"0679","Ndonga"
"0680","Ndwayana Clinic"
"0681","Needs Camp"
"0682","Nelson Mandela Academic Hospital"
"0683","Nelson Mandela Bay Occupational Health Centre"
"0684","N Knight Clinic"
"0685","Nessie Knight Hospital"
"0686","Nessie Knight Mobile 1"
"0687","New Brighton CHC"
"0688","N Brighton Clinic"
"0689","New Brighton Mobile 1"
"0690","Newhaven Hospital"
"0691","Newlands"
"0692","New Rest"
"0693","Newtown"
"0694","Ngangelizwe CHC"
"0695","Ngcengane"
"0696","Ngceza Clinic"
"0697","Ngcobo CHC"
"0698","Ngcobo Community Health Services Mobile 1"
"0699","Ngcobo Community Health Services Mobile 2"
"0700","Ngcolora"
"0701","Ngcoya"
"0702","Ngcwanguba CHC"
"0703","NG Dlukulu"
"0704","Ngonyama CHC"
"0705","Ngqeleni"
"0706","Ngqeleni Corr"
"0707","Ngqungqu"
"0708","Ngqusi"
"0709","Ngqwarha"
"0710","Ngqwaru"
"0711","Ngqwele"
"0712","Ngwemnyama"
"0713","Ngwenya"
"0714","Ngxabangu"
"0715","Ngxaza"
"0716","Nier Clinic"
"0717","Nieu-Bethesda"
"0718","Njwaxa"
"0719","Nkanga"
"0720","Nkanunu"
"0721","Nkanya"
"0722","Nkozo"
"0723","Nkqubela Hospital"
"0724","Nkumandeni"
"0725","Nkwenkwana"
"0726","Nkwenkwezi"
"0727","NMM University Primary Health Service"
"0728","Nobuhle NU 8"
"0729","Nolita"
"0730","Nolukhanyo"
"0731","N Makhenyane"
"0732","Nomangesi Jayiya"
"0733","Nomonde"
"0734","Nompumelelo"
"0735","Nompumelelo (Peddie) Hospital"
"0736","Nomzamo CHC"
"0737","Noncampa"
"0738","Noncampa Mobile 1"
"0739","Nontsikelelo Biko"
"0740","Nontyatyambo CHC"
"0741","Norah"
"0742","North End Corr"
"0743","Nozuko"
"0744","Nqabara"
"0745","Nqabeni"
"0746","Nqadu (Mbhashe)"
"0747","Nqamakwe CHC"
"0748","Nqamakwe Corr"
"0749","Nqamakwe Mobile 1"
"0750","Nqancule"
"0751","Nqanda A"
"0752","Nququ"
"0753","Nqwathi Clinic"
"0754","Ntaba ka Ndoda"
"0755","Ntafufu"
"0756","Ntapane"
"0757","Ntibane"
"0758","Ntlabeni"
"0759","Ntlangaza"
"0760","Ntlenzi"
"0761","Ntlola"
"0762","Ntseshe"
"0763","Ntshabeni"
"0764","Ntshele"
"0765","Ntshentshe"
"0766","Ntshingeni"
"0767","Ntsimba"
"0768","Ntsizwa"
"0769","EL NU 12"
"0770","EL NU 13"
"0771","EL NU 16"
"0772","EL NU 17"
"0773","Nxotwe"
"0774","Nyalasa Clinic"
"0775","Nyandeni Clinic"
"0776","Nyandeni Corr"
"0777","Nyaniso"
"0778","Nyhwara"
"0779","Nzulwini"
"0780","Oasim Hosp"
"0781","Old Bunting"
"0782","Olive Leaf Found N-med"
"0783","Openshaw"
"0784","Orsmond TB Hospital"
"0785","Oviston Satellite Clinic"
"0786","Oxton"
"0787","Paballong"
"0788","Pakamisa"
"0789","Pal 1"
"0790","Pal 2"
"0791","Palmerton"
"0792","Palmietfontein"
"0793","Park Centre"
"0794","Parkvale"
"0795","Patensie Correctional"
"0796","Patensie Mobile 1"
"0797","Paterson Mobile 1"
"0798","Pathcare Lab"
"0799","Pearston Mobile 1"
"0800","Peddie Ext"
"0801","Peddie Gateway Clinic"
"0802","Peddie Mobile 1"
"0803","Peddie Mobile 2"
"0804","Peddie Mobile 3"
"0805","Peelton"
"0806","Pefferville"
"0807","Pelandaba"
"0808","Pellsrus"
"0809","Penford Clicks Pharm"
"0810","Perksdale"
"0811","Petros Jobane"
"0812","Phahlakazi Clinic"
"0813","Phakamile"
"0814","Philani Clinic (Crad)"
"0815","Philani Clinic (KWT)"
"0816","Philani Clinic (Queen)"
"0817","Philani Gateway"
"0818","Philani NU 1"
"0819","Pikholi"
"0820","Pilani"
"0821","Pirie"
"0822","Plumstead"
"0823","Poly"
"0824","P Alfred Clinic"
"0825","Port Alfred Hospital"
"0826","Port Alfred Mobile 1"
"0827","Port Alfred Mobile 2"
"0828","Port Elizabeth Provincial Hospital"
"0829","Port St Johns CHC"
"0830","Port St Johns Mobile 1"
"0831","Potsdam"
"0832","Pricesdale"
"0833","Punzana"
"0834","PZ Meyer Hospital"
"0835","Qamata"
"0836","Qandu"
"0837","Qanqu"
"0838","Qaqa"
"0839","Qasa"
"0840","Qaukeni"
"0841","Qebe"
"0842","Qhiba"
"0843","Qibira"
"0844","Qina"
"0845","Qitsi"
"0846","Qobo"
"0847","Qokolweni"
"0848","Qolombane (Qum)"
"0849","Qolora-By-Sea"
"0850","Qombolo"
"0851","Qoqodala"
"0852","Queen Nonesi"
"0853","Queen Noti"
"0854","Queen's Mercy"
"0855","Queenstown Mobile 1"
"0856","Queenstown Mobile 2"
"0857","Queenstown Private Hospital"
"0858","Qumanco"
"0859","Qumanco J Tribal"
"0860","Qumbu CHC"
"0861","Qunu"
"0862","Qurhu"
"0863","Qwaninga Clinc"
"0864","Qwidlana"
"0865","Qwilqwili"
"0866","Rabula"
"0867","Raglan Road"
"0868","Raphael Centre"
"0869","Reeston Mobile 1"
"0870","Rhodes Satellite Clinic"
"0871","Rhodes University Non-medical Site"
"0872","Riebeeck East"
"0873","Rietbron Clinic"
"0874","Rietbron Mobile 1"
"0875","R Mbelekana"
"0876","Robert Mjobo"
"0877","Rocklands"
"0878","Rodana"
"0879","Rode"
"0880","Rolweni"
"0881","Rosedale CHC"
"0882","Rosedale Mobile 1"
"0883","Rwantsana"
"0884","Rwarwa"
"0885","Sabalele"
"0886","SACTWU N-med"
"0887","Sada CHC"
"0888","Sada Corr"
"0889","Sanddrif"
"0890","SANDF 6 SAI"
"0891","Sangoni"
"0892","SAWAS Memorial (Jansenville) Hospital"
"0893","Schauderville"
"0894","School Health Service (Korsten)"
"0895","Motherwell SHS"
"0896","School Health Service (New Brighton)"
"0897","School Health Service (PE Central)"
"0898","School Health Service (Uitenhage)"
"0899","School Health Service (Walmer)"
"0900","School Health Service (Zwide)"
"0901","Senqu HCT Outreach N-med"
"0902","Senqu Mobile 1"
"0903","Seqhobong"
"0904","Settlers Day Hosp"
"0905","Settlers Hospital"
"0906","Seymour"
"0907","Seymour Mobile 1"
"0908","Shawbury"
"0909","Shepherds Hope"
"0910","Sheshegu"
"0911","Shiloh"
"0912","Shornville"
"0913","Sidwadweni"
"0914","Sifonondile"
"0915","Sigidi"
"0916","Silvertown"
"0917","Sinebhongo"
"0918","Sinqumeni"
"0919","Sipetu Hospital"
"0920","Sipetu Mobile 1"
"0921","Sipetu PHC"
"0922","Siqhungqwini Mobile 1"
"0923","Sitebe"
"0924","Siyathemba Mob 1"
"0925","SFH New Start"
"0926","Soga"
"0927","Somerset East Corr"
"0928","Somerset East Mobile 1"
"0929","Somerset East Mobile 2"
"0930","Sondelani Church N-med"
"0931","Sonwabile"
"0932","Sonwabo Zandile"
"0933","Sophumelela Centre Non-medical Site"
"0934","SOS"
"0935","Soto"
"0936","Soweto"
"0937","Springrove"
"0938","Springs Clinic"
"0939","SS Gida Gateway"
"0940","SS Gida Hospital"
"0941","St Albans Max Corr"
"0942","St Albans Med A Corr"
"0943","St Albans Med B Corr"
"0944","Stanford Terrace"
"0945","Station Hill"
"0946","St Augustine's"
"0947","St Barnabas N-med"
"0948","St Barnabas Crisis Centre"
"0949","St Barnabas Gateway"
"0950","St Barnabas Hospital"
"0951","St Barnabas Mobile 1"
"0952","St Dominic's Hospital"
"0953","St Elizabeth's Hospital"
"0954","St Elizabeth's Mobile 1"
"0955","St Elizabeth's PHC"
"0956","Sterkspruit Mobile 1"
"0957","Sterkspruit Mobile 2"
"0958","Sterkspruit Mobile 3"
"0959","Sterkspruit Town Clinic"
"0960","Sterkspruit Crisis Centre"
"0961","Sterkstroom Clinic"
"0962","Sterkstroom Hospital"
"0963","Sterkstroom Mobile 1"
"0964","Steynsburg Hospital"
"0965","Steynsburg Mobile 1"
"0966","Steytlerville Mobile 1"
"0967","St Francis Bay"
"0968","St Francis Hospital"
"0969","St George's Hospital"
"0970","St James Hospital"
"0971","St Lucy's Clinic"
"0972","St Lucy's Hospital"
"0973","St Lucy's Mobile 1"
"0974","St Mark's Clinic"
"0975","St Mark's Clinic Hospital"
"0976","St Mary's Private Hospital"
"0977","St Matthew's"
"0978","St Michael's"
"0979","Stormsriver Satellite Clinic"
"0980","St Patrick's Hospital"
"0981","St Patrick's Mobile 1"
"0982","St Patrick's PHC"
"0983","St Thomas"
"0984","Stutterheim Clinic"
"0985","Stutterheim Corr"
